Date,Price,Returns
2014-01-01,157.02999877929688,
2014-01-02,156.9199981689453,-0.0007005069808742048
2014-01-03,155.5500030517578,-0.00873053232968124
2014-01-06,155.14500427246094,-0.0026036565178473303
2014-01-07,155.40499877929688,0.0016758161698802176
2014-01-08,155.5449981689453,0.0009008679949045195
2014-01-09,155.03500366210938,-0.003278758641161894
2014-01-10,156.05499267578125,0.006579088525678234
2014-01-13,156.58999633789062,0.0034283021192464957
2014-01-14,155.30499267578125,-0.00820616701041732
2014-01-15,155.49000549316406,0.0011912869908119461
2014-01-16,158.40499877929688,0.018747142473160228
2014-01-17,157.375,-0.006502312346417516
2014-01-20,156.9499969482422,-0.0027005753884531414
2014-01-21,159.68499755859375,0.017425936053082403
2014-01-22,157.35000610351562,-0.014622484834377336
2014-01-23,157.43499755859375,0.000540142686884959
2014-01-24,155.05499267578125,-0.015117381266682606
2014-01-27,149.1750030517578,-0.03792196254085445
2014-01-28,153.5749969482422,0.029495517388779646
2014-01-29,151.22000122070312,-0.015334499588710693
2014-01-30,149.83999633789062,-0.00912580922941808
2014-01-31,153.11500549316406,0.021856708724740326
2014-02-03,149.24000549316406,-0.025307774293702456
2014-02-04,148.1300048828125,-0.00743768808292089
2014-02-05,148.42999267578125,0.002025165618579905
2014-02-06,148.31500244140625,-0.0007747102341113532
2014-02-07,149.38999938964844,0.007248066146692711
2014-02-10,148.5749969482422,-0.005455535475842099
2014-02-11,146.55999755859375,-0.013562170156734998
2014-02-12,148.19000244140625,0.011121758392230063
2014-02-13,148.22000122070312,0.0002024345691520324
2014-02-14,147.5399932861328,-0.004587828423761597
2014-02-17,150.38499450683594,0.019282915481673157
2014-02-18,155.7449951171875,0.03564185793887775
2014-02-19,154.02000427246094,-0.011075738539325974
2014-02-20,151.22999572753906,-0.018114585557252427
2014-02-21,152.96499633789062,0.01147259577707982
2014-02-24,152.6300048828125,-0.0021899876644859706
2014-02-25,155.3350067138672,0.01772260856003749
2014-02-26,154.7899932861328,-0.0035086323377080397
2014-02-28,157.14999389648438,0.015246467554198118
2014-03-03,158.89500427246094,0.011104107182632328
2014-03-04,158.50999450683594,-0.0024230451258544505
2014-03-05,155.75999450683594,-0.01734906375182166
2014-03-06,161.63999938964844,0.03775041788765887
2014-03-07,163.6699981689453,0.01255876507647935
2014-03-10,167.2100067138672,0.021628939845577344
2014-03-11,169.47000122070312,0.013515904647401156
2014-03-12,169.0749969482422,-0.0023308212050257016
2014-03-13,164.7050018310547,-0.02584648940449341
2014-03-14,165.5800018310547,0.005312528400913674
2014-03-18,167.02000427246094,0.008696717148702016
2014-03-19,166.9199981689453,-0.000598767219239682
2014-03-20,165.19500732421875,-0.010334237141439662
2014-03-21,167.3300018310547,0.012924086153800696
2014-03-24,165.69500732421875,-0.009771078043055992
2014-03-25,166.0399932861328,0.002082054055129179
2014-03-26,165.9949951171875,-0.0002710080147243499
2014-03-27,169.7899932861328,0.022862124043355303
2014-03-28,179.77000427246094,0.05877855810683519
2014-03-31,179.10000610351562,-0.0037269742060519473
2014-04-01,177.7449951171875,-0.007565666890848477
2014-04-02,175.14999389648438,-0.014599574063912435
2014-04-03,174.5749969482422,-0.0032828830618287785
2014-04-04,175.83999633789062,0.007246165898679546
2014-04-07,176.7899932861328,0.005402621519717821
2014-04-09,175.625,-0.00658970151238869
2014-04-10,178.61000061035156,0.016996444756450124
2014-04-11,176.24000549316406,-0.01326910648389612
2014-04-15,175.77499389648438,-0.0026385132897520647
2014-04-16,177.27000427246094,0.008505250620898908
2014-04-17,176.72000122070312,-0.003102628975584998
2014-04-21,176.89500427246094,0.0009902843512277215
2014-04-22,176.51499938964844,-0.002148194542719861
2014-04-23,182.6750030517578,0.03489790489991984
2014-04-24,182.6750030517578,0.0
2014-04-25,181.3000030517578,-0.007527028750673792
2014-04-28,185.67999267578125,0.024158795092645624
2014-04-29,187.2550048828125,0.008482401277241536
2014-04-30,186.99000549316406,-0.001415179208770878
2014-05-02,187.77999877929688,0.004224788827880355
2014-05-05,187.81500244140625,0.00018640783010392958
2014-05-06,187.91000366210938,0.0005058233872066165
2014-05-07,188.38499450683594,0.0025277570936599325
2014-05-08,188.89999389648438,0.0027337601436707715
2014-05-09,190.1699981689453,0.006723156768109195
2014-05-12,190.00999450683594,-0.0008413717392331543
2014-05-13,187.98500061035156,-0.01065730201056092
2014-05-14,180.58999633789062,-0.03933826767269066
2014-05-15,173.56500244140625,-0.0389002383240562
2014-05-16,177.13499450683594,0.020568617032312497
2014-05-19,179.99000549316406,0.016117712901828396
2014-05-20,178.02499389648438,-0.010917337278231964
2014-05-21,184.09500122070312,0.03409637709493896
2014-05-22,204.35499572753906,0.11005184482194141
2014-05-23,202.78500366210938,-0.007682670344516196
2014-05-26,200.5850067138672,-0.010848913423144091
2014-05-27,197.8300018310547,-0.013734849518152181
2014-05-28,194.5749969482422,-0.016453545229162203
2014-05-29,198.94500732421875,0.02245925964032791
2014-05-30,202.0850067138672,0.015783253029975297
2014-06-02,208.375,0.031125482233517854
2014-06-03,211.375,0.014397120575884825
2014-06-04,211.35499572753906,-9.46387816010974e-05
2014-06-05,218.35499572753906,0.03311963351471392
2014-06-06,214.6750030517578,-0.016853256155279883
2014-06-09,214.91000366210938,0.0010946808292109367
2014-06-10,211.2050018310547,-0.017239783015777332
2014-06-11,204.09500122070312,-0.033663978356151536
2014-06-12,206.0500030517578,0.00957888149813435
2014-06-13,202.52999877929688,-0.01708325270724087
2014-06-16,199.39500427246094,-0.015479161238983852
2014-06-17,196.76499938964844,-0.01318992365134064
